Data e Hora,Total,Subindo,Descendo
2024-01-29 12:26:35.051357,73,35,38
2024-01-29 13:26:35.117175,101,49,52
2024-01-29 14:26:35.135047,57,30,27
2024-01-29 15:26:35.148821,79,33,46
2024-01-29 16:26:35.185380,113,59,54
2024-01-29 17:30:10.875306,79,34,45
2024-01-30 11:00:48.573482,102,48,54
2024-01-30 12:00:48.622770,87,50,37
2024-01-30 13:00:48.647916,51,25,26
2024-01-30 14:00:48.657385,116,53,63
2024-01-30 15:00:48.679419,107,57,50
2024-01-30 16:00:48.743653,98,37,61
2024-01-30 17:00:48.782100,64,37,27
2024-01-30 18:00:48.827623,140,67,73
2024-01-30 19:00:48.860967,108,54,54
2024-02-02 15:25:58.516687,135,69,66
2024-02-05 11:11:03.300303,90,40,50
2024-02-05 12:11:03.376657,101,46,55
2024-02-05 13:11:03.381036,140,67,73
2024-02-05 14:11:03.409265,108,58,50
2024-02-05 15:11:03.430450,145,68,77
2024-02-05 16:11:03.441184,163,69,94
2024-02-05 17:11:03.511477,115,62,53
2024-02-12 17:17:04.361439,91,36,55
